,obsid,designation,obsdate,lmjd,planid,spid,fiberid,ra,dec,snru,snrg,snrr,snri,snrz,objtype,class,subclass,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,t_info,rv,rv_err,logg,logg_err,teff,teff_err,feh,feh_err,totalCounts,B,V,R,I,BV,BR,BI,VR,VI,RI,Ha,Hb,Hg,filename
2814,816213,J035355.62+295631.6,2011-10-27,55862.0,B6210,16.0,213.0,58.481768,29.942126,1.02,7.09,18.33,32.54,26.31,Star,STAR,G5,ugrizjh,99.0,16.61,15.43,14.86,99.0,99.0,99.0,PILOT,Obj,,,-53.45,19.18,3.589,0.518,5204.16,194.6,-0.727,0.762,867671.5,-5.81539392471,-6.02573871613,-6.02773010731,-5.84157407284,0.210344791412,0.212336182594,0.0261801481247,0.00199139118195,-0.184164643288,-0.18615603447,0.739840113353,0.310386533432,-0.0772882034913,spec-55862-B6210_sp16-213.fits
2815,816215,J035346.50+300601.3,2011-10-27,55862.0,B6210,16.0,215.0,58.443776,30.100384,1.51,10.74,24.89,43.45,34.91,Star,STAR,K1,ugrizjh,99.0,15.98,14.87,14.36,99.0,99.0,99.0,PILOT,Obj,,,3.65,9.84,4.809,0.34,4929.16,115.92,-0.873,0.459,1369914.25,-6.37174069881,-6.50938510895,-6.52782678604,-6.32571816444,0.137644410133,0.156086087227,-0.0460225343704,0.0184416770935,-0.183666944504,-0.202108621597,0.159956060282,0.58290258067,2.37172891348,spec-55862-B6210_sp16-215.fits
2816,816217,J035317.50+295434.1,2011-10-27,55862.0,B6210,16.0,217.0,58.322945,29.909496,0.83,20.91,51.09,89.36,78.89,Star,STAR,G5,ugrizjh,99.0,15.21,13.79,13.23,99.0,99.0,99.0,PILOT,Obj,,,6.01,6.95,2.658,0.439,4746.9,95.67,0.137,0.255,3724426.25,-7.19600558281,-7.65808343887,-7.71129608154,-7.57503211498,0.462077856064,0.515290498734,0.379026532173,0.0532126426697,-0.0830513238907,-0.13626396656,1.18754413631,1.46012305067,2.16705699677,spec-55862-B6210_sp16-217.fits
2817,816218,J035400.60+300812.1,2011-10-27,55862.0,B6210,16.0,218.0,58.502501,30.136698,1.73,9.7,17.6,26.85,19.26,Star,STAR,F5,ugrizjh,99.0,16.01,15.34,15.02,99.0,99.0,99.0,PILOT,Obj,,,-54.28,24.9,4.073,0.527,5901.08,275.7,-0.225,0.607,1007984.0,-6.39352858067,-6.17728412151,-5.90371906757,-5.51276922226,-0.216244459152,-0.489809513092,-0.880759358406,-0.27356505394,-0.664514899254,-0.390949845314,1.63038235304,2.84778848598,7.13229557907,spec-55862-B6210_sp16-218.fits
2818,816219,J035320.24+300634.1,2011-10-27,55862.0,B6210,16.0,219.0,58.334374,30.109484,0.61,6.96,16.9,28.17,21.89,Star,STAR,G0,ugrizjh,99.0,16.4,15.38,14.89,99.0,99.0,99.0,PILOT,Obj,,,-40.9,14.06,4.391,0.386,5773.65,238.0,0.299,0.448,866648.375,-5.99014937878,-6.03796124458,-5.92961549759,-5.67389369011,0.0478118658066,-0.0605338811874,-0.316255688667,-0.108345746994,-0.364067554474,-0.25572180748,1.35403375775,0.568569423163,0.794874456568,spec-55862-B6210_sp16-219.fits
2819,816223,J035350.75+300255.3,2011-10-27,55862.0,B6210,16.0,223.0,58.461482,30.048699,1.13,9.25,23.38,40.96,33.64,Star,STAR,G5,ugrizjh,99.0,16.26,15.11,14.55,99.0,99.0,99.0,PILOT,Obj,,,-34.42,12.93,2.954,0.609,4948.79,208.52,-0.434,0.546,1201542.75,-6.13829791546,-6.41167342663,-6.4065849781,-6.23726665974,0.273375511169,0.268287062645,0.098968744278,-0.00508844852448,-0.174406766891,-0.169318318367,1.00898974445,1.04670649106,-6.61480633512,spec-55862-B6210_sp16-223.fits
2820,816226,J035556.24+302521.3,2011-10-27,55862.0,B6210,16.0,226.0,58.984366,30.422601,2.51,19.81,29.7,38.48,26.61,Star,STAR,A5V,ugrizjh,99.0,14.78,14.41,14.23,99.0,99.0,99.0,PILOT,Obj,,,7.26,20.01,3.937,0.578,8909.19,265.94,0.686,0.533,2807285.25,-7.71819889545,-7.2654736042,-6.80316209793,-6.14697635174,-0.452725291252,-0.915036797523,-1.57122254372,-0.462311506271,-1.11849725246,-0.656185746193,2.7423104741,3.23681403234,9.92858398378,spec-55862-B6210_sp16-226.fits
2821,816245,J035647.73+303049.2,2011-10-27,55862.0,B6210,16.0,245.0,59.19891,30.513682,2.06,16.43,32.39,50.55,38.46,Star,STAR,F5,ugrizjh,99.0,14.77,13.91,13.47,99.0,99.0,99.0,PILOT,Obj,,,40.39,16.31,4.494,0.413,6444.68,208.84,-0.035,0.398,2433367.5,-7.21487343311,-7.15570867062,-6.98912262917,-6.650583148,-0.0591647624969,-0.225750803947,-0.56429028511,-0.166586041451,-0.505125522614,-0.338539481163,2.11553594754,3.14706638025,4.52194542128,spec-55862-B6210_sp16-245.fits
2822,906003,J063715.90+271356.5,2011-10-27,55862.0,B6212,6.0,3.0,99.316263,27.23237,14.02,71.41,-9999.0,-9999.0,-9999.0,Star,STAR,F9,ugrizjh,99.0,14.16,13.56,13.34,99.0,99.0,99.0,PILOT,Obj,,,-21.4,13.98,3.635,0.749,5456.41,166.07,-0.54,0.431,4502655.5,-7.85236954689,-7.84435629845,-7.69945979118,-7.34941601753,-0.0080132484436,-0.152909755707,-0.502953529358,-0.144896507263,-0.494940280914,-0.350043773651,1.76006249878,1.55129212814,3.71272127242,spec-55862-B6212_sp06-003.fits
2823,906009,J063646.59+272046.6,2011-10-27,55862.0,B6212,6.0,9.0,99.194135,27.346298,15.49,70.63,98.21,-9999.0,95.02,Star,STAR,F5,ugrizjh,99.0,14.48,14.14,14.04,99.0,99.0,99.0,PILOT,Obj,,,-19.23,14.71,4.241,0.363,6672.11,133.34,-0.159,0.294,3976919.5,-7.89794564247,-7.66553938389,-7.40267038345,-6.94630742073,-0.232406258583,-0.495275259018,-0.951638221741,-0.262869000435,-0.719231963158,-0.456362962723,2.58659829719,2.4836425477,5.20804793948,spec-55862-B6212_sp06-009.fits
2824,906010,J063648.06+270549.2,2011-10-27,55862.0,B6212,6.0,10.0,99.200291,27.097026,2.41,17.6,35.37,53.51,42.35,Star,STAR,K3,ugrizjh,99.0,16.62,15.61,15.32,99.0,99.0,99.0,PILOT,Obj,,,-35.46,7.74,4.599,0.283,4728.92,100.27,-0.078,0.274,765345.375,-5.52582323551,-5.87479948997,-6.01557195187,-5.8173841238,0.348976254463,0.489748716354,0.29156088829,0.140772461891,-0.0574153661728,-0.198187828064,0.479268442109,0.369203361809,5.46054777921,spec-55862-B6212_sp06-010.fits
2825,906018,J063800.75+271522.1,2011-10-27,55862.0,B6212,6.0,18.0,99.503129,27.256166,10.19,57.51,69.16,79.94,55.42,Star,STAR,A4V,ugrizjh,99.0,14.85,14.76,14.74,99.0,99.0,99.0,PILOT,Obj,,,50.98,9.84,4.115,0.567,7793.46,201.49,-0.283,0.732,2553481.5,-7.58487224579,-7.13694751263,-6.73154771328,-6.16246521473,-0.447924733162,-0.853324532509,-1.42240703106,-0.405399799347,-0.974482297897,-0.56908249855,2.15006538389,2.55222673569,8.78913483323,spec-55862-B6212_sp06-018.fits
2826,906019,J063744.02+272232.3,2011-10-27,55862.0,B6212,6.0,19.0,99.433427,27.375641,4.77,27.93,29.62,30.11,18.77,Star,STAR,A5V,ugrizjh,99.0,15.89,15.85,15.88,99.0,99.0,99.0,PILOT,Obj,,,49.71,9.54,4.254,0.494,8344.09,273.2,-0.133,0.878,877415.75,-6.45843505859,-5.97032606602,-5.53975880146,-4.85506892204,-0.488108992577,-0.918676257133,-1.60336613655,-0.430567264557,-1.11525714397,-0.684689879417,2.12625913383,3.33694930194,13.0176061609,spec-55862-B6212_sp06-019.fits
2827,906020,J063711.18+270945.0,2011-10-27,55862.0,B6212,6.0,20.0,99.296613,27.162509,2.57,42.78,94.69,-9999.0,-9999.0,Star,STAR,K5,ugrizjh,99.0,15.56,14.4,13.99,99.0,99.0,99.0,PILOT,Obj,,,-47.91,6.51,4.653,0.195,4326.85,60.14,-0.032,0.212,2289639.75,-6.64774894714,-7.06822574139,-7.24120736122,-7.08337664604,0.420476794243,0.593458414078,0.435627698898,0.172981619835,0.0151509046555,-0.157830715179,0.42712545505,0.184784965333,0.508129736943,spec-55862-B6212_sp06-020.fits
2828,906022,J063626.08+271750.3,2011-10-27,55862.0,B6212,6.0,22.0,99.108687,27.297326,4.72,30.94,35.17,38.3,25.13,Star,STAR,A5V,ugrizjh,99.0,15.95,15.72,15.73,99.0,99.0,99.0,PILOT,Obj,,,14.68,18.35,4.311,0.489,8127.1,259.63,0.19,0.644,929226.5,-6.46546840668,-6.06455028057,-5.67827582359,-5.07280230522,-0.400918126106,-0.787192583084,-1.39266610146,-0.386274456978,-0.991747975349,-0.605473518372,2.70598141812,3.19542553467,8.56424363922,spec-55862-B6212_sp06-022.fits
2829,906023,J063733.55+271135.0,2011-10-27,55862.0,B6212,6.0,23.0,99.389822,27.193062,2.58,17.07,28.96,41.17,32.49,Star,STAR,G5,ugrizjh,99.0,16.69,15.87,15.59,99.0,99.0,99.0,PILOT,Obj,,,13.33,12.07,2.91,0.666,4915.72,178.72,-0.398,0.497,555507.8125,-5.37624359131,-5.56546986103,-5.55214881897,-5.28672397137,0.189226269722,0.175905227661,-0.0895196199417,-0.0133210420609,-0.278745889664,-0.265424847603,1.19245635099,0.845132939535,6.21948406344,spec-55862-B6212_sp06-023.fits
2830,906024,J063720.45+271944.7,2011-10-27,55862.0,B6212,6.0,24.0,99.335235,27.32909,2.25,23.44,50.37,78.14,65.52,Star,STAR,G5,ugrizjh,99.0,16.23,15.2,14.77,99.0,99.0,99.0,PILOT,Obj,,,32.14,10.36,2.169,0.654,4658.49,123.73,-0.606,0.394,1042610.1875,-5.81725120544,-6.24096274376,-6.33600711823,-6.19822263718,0.423711538315,0.518755912781,0.380971431732,0.0950443744659,-0.0427401065826,-0.137784481049,1.14287693295,0.844810297309,3.55722598638,spec-55862-B6212_sp06-024.fits
2831,906026,J063829.98+280203.0,2011-10-27,55862.0,B6212,6.0,26.0,99.624952,28.03417,5.14,28.25,36.86,46.22,32.8,Star,STAR,F5,ugrizjh,99.0,15.81,15.35,15.15,99.0,99.0,99.0,PILOT,Obj,,,46.39,28.5,4.038,0.531,6351.48,228.12,-0.364,0.542,913875.1875,-6.2444126606,-6.07695639133,-5.85873007774,-5.42254507542,-0.167456269264,-0.385682582855,-0.821867585182,-0.218226313591,-0.654411315918,-0.436185002327,2.12469631726,1.92852122237,4.16231358748,spec-55862-B6212_sp06-026.fits
2832,906027,J063821.88+280431.4,2011-10-27,55862.0,B6212,6.0,27.0,99.591175,28.075414,2.52,26.87,56.62,81.47,65.65,Star,STAR,G5,ugrizjh,99.0,15.65,14.78,14.39,99.0,99.0,99.0,PILOT,Obj,,,-14.61,13.65,3.001,0.698,5030.96,151.93,-0.316,0.419,1115464.5,-6.12667560577,-6.34907186031,-6.3268828392,-6.08978509903,0.222396254539,0.200207233429,-0.0368905067444,-0.0221890211105,-0.259286761284,-0.237097740173,1.07157659606,1.39709255119,5.42974834086,spec-55862-B6212_sp06-027.fits
