,cAll,cB,cV,cR,cI,lHa,lHb,lHg,FILENAME,DESIG,teff
3045,527644.5,-5.326544046,-5.484139323,-5.51019609,-5.325798988,1.071448802,1.138232133,4.658161577,spec-55862-B6210_sp14-093.fits,J035423.32+291716.1,5039.34
3046,330962.9375,-4.809232354,-4.969500005,-5.057264566,-4.7379601,0.008960836,2.266625349,6.815581797,spec-55862-B6210_sp14-095.fits,J035446.05+292234.5,4977.24
3047,581833.5,-6.137663126,-5.451542139,-4.844733775,-4.074635804,1.67875852,3.238006551,11.56629376,spec-55862-B6210_sp14-014.fits,J035130.02+292314.9,8130.16
3048,432397.1563,-5.328980684,-5.298958421,-5.154509544,-4.775409102,1.534398787,0.125856114,-0.763319855,spec-55862-B6210_sp16-092.fits,J035433.21+293605.9,5307.94
3049,565799.25,-5.434467793,-5.622305274,-5.584295392,-5.300844908,0.908891049,1.318458045,5.310510551,spec-55862-B6210_sp14-090.fits,J035409.14+291954.1,5255.06
3050,354894.3438,-4.463812411,-4.974240065,-5.225984454,-5.184274316,-0.770622425,0.491337155,-3.216101953,spec-55862-B6210_sp14-175.fits,J035355.60+285639.6,4014.68
3051,365098.5,-5.342336297,-5.088315606,-4.757874012,-4.264818728,3.127254144,1.012622728,-4.049368262,spec-55862-B6210_sp14-140.fits,J035243.24+291445.7,6446.22
3052,359660.4063,-4.686960876,-5.040094852,-5.186930299,-5.026692748,-0.323577431,-1.984150534,3.670479746,spec-55862-B6210_sp14-248.fits,J035028.35+285902.2,3982.11
3053,343228.5313,-4.665961564,-4.407009482,-5.215399861,-5.127171874,-0.674034277,0.007358923,-5.290450877,spec-55862-B6210_sp14-246.fits,J035038.28+284653.6,4402.8
3054,271860.4063,-4.688594043,-4.831879139,-4.725732207,-4.396532178,0.121606288,-0.097050734,-0.91565439,spec-55862-B6210_sp14-238.fits,J035128.52+285430.4,5055.07
3055,174604.5938,-4.589579999,-4.226815403,-3.868256807,-3.387793005,2.511886522,-0.323156975,9.755338875,spec-55862-B6210_sp14-105.fits,J035055.48+290316.1,5880.59
3056,264020.6875,-5.038520098,-4.663529098,-4.336134493,-3.808507919,2.521029041,1.180825384,5.321214268,spec-55862-B6210_sp14-236.fits,J035035.73+290045.1,6702.83
3057,311677,-5.248888731,-4.834057391,-4.433652759,-3.87591511,0.842993781,2.894443918,3.229608283,spec-55862-B6210_sp14-205.fits,J035154.68+290043.4,7302.57
3058,401667.375,-5.084787607,-4.738864005,-5.236632824,-5.013252497,0.312913113,0.400730984,-8.289237809,spec-55862-B6210_sp15-011.fits,J035916.42+293142.7,4725.46
3059,379434.0313,-5.403501391,-5.135571361,-4.797925949,-4.284406304,2.063661632,1.837883794,0.301810127,spec-55862-B6210_sp15-050.fits,J040118.81+294606.5,5952
3060,290689.5625,-4.658398926,-4.855753779,-4.817152023,-4.59004879,2.151743383,0.600315578,-0.052529104,spec-55862-B6210_sp15-062.fits,J035726.16+291559.9,4877.59
3061,312033.4688,-5.004836917,-4.956224859,-4.756066501,-4.361841381,1.683791015,1.941113768,3.401200563,spec-55862-B6210_sp15-052.fits,J035716.48+292543.8,5295.56
3062,344608.5625,-4.86705929,-5.055515766,-5.05961895,-4.778652489,0.319028636,1.134470192,7.082962958,spec-55862-B6210_sp15-081.fits,J035722.24+292833.0,4686.89
